# Instrument-source: 'Exercise_solution_elliptic.instr'
# Date: Wed Jan 24 15 47 2024
# Ncount: 10000000
# Numpoints: 10
# Param: guide_length = 10
# type: multiarray_1d(10)
# title: Scan of guide_length
# xlabel: 'guide_length'
# ylabel: 'Intensity'
# xvars: guide_length
# yvars: (PSD_2D_I,PSD_2D_ERR) (DIV_2D_I,DIV_2D_ERR) (Wavelength_1D_I,Wavelength_1D_ERR) (POS_DIV_2D_I,POS_DIV_2D_ERR)
# xlimits: 10 100
# filename: mccode.dat
# variables: guide_length PSD_2D_I PSD_2D_ERR DIV_2D_I DIV_2D_ERR Wavelength_1D_I Wavelength_1D_ERR POS_DIV_2D_I POS_DIV_2D_ERR
10 0.0465425 0.0000207708 0.0465423 0.0000207708 0.0465425 0.0000207708 0.0465424 0.0000207708
20 0.0320099 0.0000168339 0.0320098 0.0000168339 0.0320099 0.0000168339 0.0320099 0.0000168339
30 0.0259115 0.00001491 0.0259115 0.00001491 0.0259115 0.00001491 0.0259115 0.00001491
40 0.0224781 0.0000136924 0.0224781 0.0000136924 0.0224781 0.0000136924 0.0224781 0.0000136924
50 0.0202412 0.0000128226 0.0202412 0.0000128226 0.0202412 0.0000128226 0.0202412 0.0000128226
60 0.0185825 0.0000121312 0.0185825 0.0000121312 0.0185825 0.0000121312 0.0185825 0.0000121312
70 0.0173108 0.0000115621 0.0173107 0.0000115621 0.0173108 0.0000115621 0.0173107 0.0000115621
80 0.0162725 0.0000110786 0.0162725 0.0000110786 0.0162725 0.0000110786 0.0162725 0.0000110786
90 0.015397 0.000010653 0.015397 0.000010653 0.015397 0.000010653 0.015397 0.000010653
100 0.0146113 0.0000102602 0.0146113 0.0000102602 0.0146113 0.0000102602 0.0146113 0.0000102602
