## For mcstas SNS_source component.  Generaged by meilongwei   03/09/15 09:07:34 
## Energy spectra for CSNS-DPHM
1.0593E-5    87.88183     1.62649E11
1.1885E-5    82.96769     1.65359E11
1.3335E-5    78.3271      1.31152E11
1.4962E-5    73.94584     1.90855E11
1.6788E-5    69.80863     1.47026E11
1.8836E-5    65.90437     2.83047E11
2.1135E-5    62.21677     2.24835E11
2.3714E-5    58.73624     1.84115E11
2.6607E-5    55.45116     3.2955E11 
2.9854E-5    52.34887     2.67276E11
3.3497E-5    49.42033     3.87481E11
3.7584E-5    46.65595     4.33279E11
4.217E-5     44.04603     4.50902E11
4.7315E-5    41.58236     4.80397E11
5.3088E-5    39.25639     6.38074E11
5.9566E-5    37.06034     5.33006E11
6.6834E-5    34.98725     7.77895E11
7.4989E-5    33.03009     6.89374E11
8.414E-5     31.18224     8.36951E11
9.4406E-5    29.43803     9.82907E11
1.0593E-4    27.79067     9.5519E11 
1.1885E-4    26.23669     1.20158E12
1.3335E-4    24.7692      1.30562E12
1.4962E-4    23.38373     1.37884E12
1.6788E-4    22.07543     1.38482E12
1.8836E-4    20.84079     1.47858E12
2.1135E-4    19.67467     1.54025E12
2.3714E-4    18.57403     1.65285E12
2.6607E-4    17.5352      1.78083E12
2.9854E-4    16.55417     1.84949E12
3.3497E-4    15.62808     2.0795E12 
3.7584E-4    14.75391     2.29585E12
4.217E-4     13.92858     2.33972E12
4.7315E-4    13.1495      2.48866E12
5.3088E-4    12.41396     2.70403E12
5.9566E-4    11.71951     2.85484E12
6.6834E-4    11.06394     3.07719E12
7.4989E-4    10.44503     3.33605E12
8.414E-4     9.86069      3.64315E12
9.4406E-4    9.30912      4.14438E12
0.00106      8.78818      4.1346E12 
0.00119      8.29677      4.32883E12
0.00133      7.83271      4.54898E12
0.0015       7.39458      4.72247E12
0.00168      6.98086      5.00292E12
0.00188      6.59044      5.13689E12
0.00211      6.22168      5.39651E12
0.00237      5.87362      5.66118E12
0.00266      5.54512      5.95033E12
0.00299      5.23489      6.18227E12
0.00335      4.94203      6.59275E12
0.00376      4.6656       6.8566E12 
0.00422      4.4046       7.09909E12
0.00473      4.15824      7.17673E12
0.00531      3.92564      7.15357E12
0.00596      3.70603      6.93611E12
0.00668      3.49873      6.85963E12
0.0075       3.30301      6.75974E12
0.00841      3.11822      6.67743E12
0.00944      2.9438       6.64413E12
0.01059      2.77907      6.44662E12
0.01188      2.62367      6.17881E12
0.01333      2.47692      5.80247E12
0.01496      2.33837      5.44337E12
0.01679      2.20754      4.88084E12
0.01884      2.08408      4.35624E12
0.02114      1.96747      3.84569E12
0.02371      1.8574       3.37818E12
0.02661      1.75352      2.97831E12
0.02985      1.65542      2.59427E12
0.0335       1.56281      2.2812E12 
0.03758      1.47539      1.97167E12
0.04217      1.39286      1.74441E12
0.04732      1.31495      1.52446E12
0.05309      1.2414       1.36776E12
0.05957      1.17195      1.21836E12
0.06683      1.10639      1.09481E12
0.07499      1.0445       1.00772E12
0.08414      0.98607      9.34415E11
0.09441      0.93091      8.65016E11
0.10593      0.87882      8.17317E11
0.11885      0.82968      7.50515E11
0.13335      0.78327      6.99275E11
0.14962      0.73946      6.63388E11
