History file written by the McStas component Union_master 
When running with MPI, the results may be from just a single thread, meaning intensities are divided by number of threads
----- Description of the used volumes -----------------------------------------------------------------------------------
V0: Surrounding vacuum 
V1: Sample  Material: Ni   P0: Ni_Incoherent P1: Ni_Phonon P2: Ni_Single_crystal
----- Histories sorted after intensity ----------------------------------------------------------------------------------
3110	 N I=5.732877E+06 	 V0 -> V1 -> V0 
3101	 N I=4.322442E+06 	 V0 
3257	 N I=1.841450E+05 	 V0 -> V1 -> P2 -> V0 
1102	 N I=5.304696E+03 	 V0 -> V1 -> P0 -> V0 
962	 N I=2.546466E+03 	 V0 -> V1 -> P2 -> P2 -> V0 
1112	 N I=8.974520E+02 	 V0 -> V1 -> P1 -> V0 
367	 N I=5.786235E+01 	 V0 -> V1 -> P2 -> P0 -> V0 
340	 N I=4.436138E+01 	 V0 -> V1 -> P2 -> P2 -> P2 -> V0 
335	 N I=3.314307E+01 	 V0 -> V1 -> P0 -> P2 -> V0 
308	 N I=6.762772E+00 	 V0 -> V1 -> P1 -> P2 -> V0 
340	 N I=2.220092E+00 	 V0 -> V1 -> P2 -> P1 -> V0 
133	 N I=1.723381E+00 	 V0 -> V1 -> P0 -> P0 -> V0 
134	 N I=8.448628E-01 	 V0 -> V1 -> P2 -> P2 -> P0 -> V0 
88	 N I=6.659915E-01 	 V0 -> V1 -> P2 -> P2 -> P2 -> P2 -> V0 
122	 N I=5.226445E-01 	 V0 -> V1 -> P0 -> P2 -> P2 -> V0 
92	 N I=3.955706E-01 	 V0 -> V1 -> P2 -> P0 -> P2 -> V0 
114	 N I=2.781449E-01 	 V0 -> V1 -> P1 -> P0 -> V0 
105	 N I=1.056246E-01 	 V0 -> V1 -> P1 -> P2 -> P2 -> V0 
113	 N I=6.881484E-02 	 V0 -> V1 -> P2 -> P2 -> P1 -> V0 
30	 N I=1.262697E-02 	 V0 -> V1 -> P2 -> P0 -> P0 -> V0 
26	 N I=1.169248E-02 	 V0 -> V1 -> P2 -> P2 -> P2 -> P2 -> P2 -> V0 
83	 N I=8.187923E-03 	 V0 -> V1 -> P2 -> P1 -> P2 -> V0 
28	 N I=8.172862E-03 	 V0 -> V1 -> P2 -> P2 -> P2 -> P0 -> V0 
23	 N I=6.480663E-03 	 V0 -> V1 -> P0 -> P0 -> P2 -> V0 
