#---------------------------------#
#  S(Q,W) Header  #
# X-axis: Frequency in THz  #
# Y-axis: S(q,w)-Na  #
# One Blanck line for each Q  #
#  END S(Q,W) Header   #
 #-------------------------------- #
 
 -1034.92602227   -9.77471718343e-12
-1034.8520937   -1.13942534559e-11
-1034.77816514   -1.00723953906e-11
-1034.70423657   1.03646602154e-12
-1034.630308   1.81329989098e-11
-1034.55637943   3.20771465783e-11
-1034.48245086   3.9216269914e-11
-1034.4085223   4.10019696767e-11
-1034.33459373   3.77626165366e-11
-1034.26066516   2.62809151386e-11
-1034.18673659   7.38451010874e-12
-1034.11280803   -1.12732956474e-11
-1034.03887946   -2.05201647552e-11
-1033.96495089   -1.90739884938e-11
-1033.89102232   -1.4794876313e-11
-1033.81709375   -1.35948158447e-11
-1033.74316519   -9.15077074961e-12
-1033.66923662   4.25307210254e-12
-1033.59530805   2.06570924325e-11
-1033.52137948   3.12031509893e-11
-1033.44745091   3.63730006602e-11
-1033.37352235   3.99868763869e-11
-1033.29959378   3.94161318311e-11
-1033.22566521   2.81078078681e-11
-1033.15173664   8.2498291203e-12
-1033.07780807   -9.49599747783e-12
-1033.00387951   -1.63015040181e-11
-1032.92995094   -1.27063192055e-11
-1032.85602237   -6.58268959408e-12
-1032.7820938   -3.34290874914e-12
-1032.70816523   2.37999549588e-12
-1032.63423667   1.45881683931e-11
-1032.5603081   2.61603324615e-11
-1032.48637953   2.98517037091e-11
-1032.41245096   3.00445414145e-11
-1032.3385224   3.19464273328e-11
-1032.26459383   3.02378182076e-11
-1032.19066526   1.65016086929e-11
-1032.11673669   -4.82362989796e-12
-1032.04280812   -2.06073402656e-11
-1031.96887956   -2.34674324485e-11
-1031.89495099   -1.65877245386e-11
-1031.82102242   -7.6287601805e-12
-1031.74709385   -8.80261550169e-13
-1031.67316528   8.19376911875e-12
-1031.59923672   2.14014595078e-11
-1031.52530815   3.03604896488e-11
-1031.45137958   2.95447330501e-11
-1031.37745101   2.71875801684e-11
-1031.30352244   2.97747340369e-11
-1031.22959388   2.95522902263e-11
-1031.15566531   1.6557145676e-11
-1031.08173674   -3.21396007981e-12
-1031.00780817   -1.55729142326e-11
-1030.9338796   -1.53316813524e-11
-1030.85995104   -7.6354667082e-12
-1030.78602247   1.25086556065e-12
-1030.7120939   8.67087949737e-12
-1030.63816533   1.76563761561e-11
-1030.56423677   2.78196079901e-11
-1030.4903082   3.0722797147e-11
-1030.41637963   2.31754432165e-11
-1030.34245106   1.63076573516e-11
-1030.26852249   1.73823682245e-11
-1030.19459393   1.72617179116e-11
-1030.12066536   5.17351090361e-12
-1030.04673679   -1.20689138221e-11
-1029.97280822   -2.02553723222e-11
-1029.89887965   -1.62428176679e-11
-1029.82495109   -6.57838803053e-12
-1029.75102252   3.94434017739e-12
-1029.67709395   1.38984959401e-11
-1029.60316538   2.47314613942e-11
-1029.52923681   3.40133503167e-11
-1029.45530825   3.35661189597e-11
-1029.38137968   2.23924017215e-11
-1029.30745111   1.37787542645e-11
-1029.23352254   1.5110388585e-11
-1029.15959397   1.59970362919e-11
-1029.08566541   5.50233999776e-12
-1029.01173684   -8.79682941376e-12
-1028.93780827   -1.33203106749e-11
-1028.8638797   -7.37432548024e-12
-1028.78995114   1.44483104628e-12
-1028.71602257   1.05751328596e-11
-1028.642094   2.0419297933e-11
-1028.56816543   3.0282701281e-11
-1028.49423686   3.52928187712e-11
-1028.4203083   2.84306358907e-11
-1028.34637973   1.17663380782e-11
-1028.27245116   1.35040074346e-13
-1028.19852259   5.22104299164e-13
-1028.12459402   2.30953711872e-12
-1028.05066546   -4.85039584979e-12
-1027.97673689   -1.3675074978e-11
-1027.90280832   -1.26255625782e-11
-1027.82887975   -3.19942100704e-12
-1027.75495118   6.6059481259e-12
-1027.68102262   1.62442945826e-11
-1027.60709405   2.74160019703e-11
-1027.53316548   3.76175313207e-11
-1027.45923691   4.02634999877e-11
-1027.38530834   2.99005592662e-11
-1027.31137978   1.0867067161e-11
-1027.23745121   -2.03607877631e-12
-1027.16352264   -2.75838734853e-12
-1027.08959407   -1.10913082466e-12
-1027.01566551   -5.67120513698e-12
-1026.94173694   -9.68140706682e-12
-1026.86780837   -4.5607147439e-12
-1026.7938798   5.63722447714e-12
-1026.71995123   1.30119803714e-11
-1026.64602267   1.94072598482e-11
-1026.5720941   2.82602584108e-11
-1026.49816553   3.58644062133e-11
-1026.42423696   3.46642502939e-11
-1026.35030839   2.11033358993e-11
-1026.27637983   1.12420474357e-12
-1026.20245126   -1.19461301289e-11
-1026.12852269   -1.36328429991e-11
-1026.05459412   -1.18920491718e-11
-1025.98066555   -1.24868571786e-11
-1025.90673699   -9.4589464813e-12
-1025.83280842   1.92077923334e-12
-1025.75887985   1.51731559722e-11
-1025.68495128   2.2764658645e-11
-1025.61102271   2.84546928257e-11
-1025.53709415   3.65978155343e-11
-1025.46316558   4.22095595629e-11
-1025.38923701   3.72924140338e-11
-1025.31530844   2.08770450614e-11
-1025.24137988   5.24950221446e-13
-1025.16745131   -1.25967274088e-11
-1025.09352274   -1.57677119153e-11
-1025.01959417   -1.47996324788e-11
-1024.9456656   -1.27890771801e-11
-1024.87173704   -5.3901274823e-12
-1024.79780847   8.25933557642e-12
-1024.7238799   2.02473680806e-11
-1024.64995133   2.43863033535e-11
-1024.57602276   2.63484448236e-11
-1024.5020942   3.16179860658e-11
-1024.42816563   3.46952531874e-11
-1024.35423706   2.74329189731e-11
-1024.28030849   1.07005811646e-11
-1024.20637992   -7.43230199574e-12
-1024.13245136   -1.86378619246e-11
-1024.05852279   -2.17784516347e-11
-1023.98459422   -1.96914375178e-11
-1023.91066565   -1.27015916701e-11
-1023.83673708   1.24379653732e-12
-1023.76280852   1.86651555336e-11
-1023.68887995   3.08526608133e-11
-1023.61495138   3.33883942082e-11
-1023.54102281   3.32066666433e-11
-1023.46709425   3.5896672745e-11
-1023.39316568   3.56168624548e-11
-1023.31923711   2.51988023356e-11
-1023.24530854   8.17214900694e-12
-1023.17137997   -7.19243369511e-12
-1023.09745141   -1.65393597432e-11
-1023.02352284   -2.10318741663e-11
-1022.94959427   -2.05610801099e-11
-1022.8756657   -1.22454566156e-11
-1022.80173713   4.03599883797e-12
-1022.72780857   2.11690627019e-11
-1022.65388   3.04369415954e-11
-1022.57995143   2.96840374659e-11
-1022.50602286   2.6777129831e-11
-1022.43209429   2.72385389859e-11
-1022.35816573   2.52825313864e-11
-1022.28423716   1.46338950473e-11
-1022.21030859   4.19947771257e-13
-1022.13638002   -9.79238765229e-12
-1022.06245145   -1.53631189281e-11
-1021.98852289   -1.91301119399e-11
-1021.91459432   -1.79314615611e-11
-1021.84066575   -6.23726210683e-12
-1021.76673718   1.40699917159e-11
-1021.69280862   3.24656361182e-11
-1021.61888005   4.03900858074e-11
-1021.54495148   3.75840757375e-11
-1021.47102291   3.21901963065e-11
-1021.39709434   2.92260867545e-11
-1021.32316578   2.3401651148e-11
-1021.24923721   1.01527462031e-11
-1021.17530864   -3.40748941589e-12
-1021.10138007   -1.03422721842e-11
-1021.0274515   -1.37838435929e-11
-1020.95352294   -1.8363459697e-11
-1020.87959437   -1.84765055524e-11
-1020.8056658   -6.42648022326e-12
-1020.73173723   1.4002768721e-11
-1020.65780866   3.00736642255e-11
-1020.5838801   3.46578983904e-11
