# Instrument-source: 'templateSANS2.instr'
# Date: Wed Oct 09 15 34 2024
# Ncount: 10000000
# Numpoints: 10
# Param: LC = 1
# type: multiarray_1d(10)
# title: Scan of LC
# xlabel: 'LC'
# ylabel: 'Intensity'
# xvars: LC
# yvars: (Sample_in_I,Sample_in_ERR) (detector_I,detector_ERR) (detectorSANS_I,detectorSANS_ERR) (detectorDB_I,detectorDB_ERR) (Ldetector_I,Ldetector_ERR) (PSDrad_I,PSDrad_ERR) (PSDrad_I,PSDrad_ERR) (PSDrad_full_I,PSDrad_full_ERR) (PSDrad_full_I,PSDrad_full_ERR)
# xlimits: 1 10
# filename: mccode.dat
# variables: LC Sample_in_I Sample_in_ERR detector_I detector_ERR detectorSANS_I detectorSANS_ERR detectorDB_I detectorDB_ERR Ldetector_I Ldetector_ERR PSDrad_I PSDrad_ERR PSDrad_I PSDrad_ERR PSDrad_full_I PSDrad_full_ERR PSDrad_full_I PSDrad_full_ERR
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 4042.51 1.30127 11.9343 0.00270598 11.9343 0.00270598 0 0 9.93391 0.00246324 11.8578 0.0027049 26948.3 5.3912 11.8578 0.0027049 26948.3 5.3912
4 4188.74 1.3246 12.371 0.0027552 12.371 0.0027552 0 0 10.3017 0.0025085 12.2919 0.00275411 27814.4 5.69707 12.2919 0.00275411 27814.4 5.69707
5 4188.74 1.3246 12.3654 0.0027544 12.3654 0.0027544 0 0 10.2976 0.00250795 12.2862 0.0027533 27610.2 6.04157 12.2862 0.0027533 27610.2 6.04157
6 4188.74 1.3246 12.3702 0.00275529 12.3702 0.00275529 0 0 10.2974 0.00250822 12.2909 0.00275419 27308.8 6.45064 12.2909 0.00275419 27308.8 6.45064
7 4188.74 1.3246 12.3692 0.00275496 12.3692 0.00275496 0 0 10.2979 0.00250805 12.29 0.00275387 26937.9 6.89504 12.29 0.00275387 26937.9 6.89504
8 3702.43 1.24533 10.932 0.00258995 10.932 0.00258995 0 0 9.10378 0.00235806 10.8622 0.00258892 23643.9 6.66041 10.8622 0.00258892 23643.9 6.66041
9 2892.98 1.10082 8.54045 0.00228879 8.54045 0.00228879 0 0 7.11086 0.00208367 8.48583 0.00228788 18485.8 5.89522 8.48583 0.00228788 18485.8 5.89522
10 2192.81 0.958393 6.47955 0.00199445 6.47955 0.00199445 0 0 5.394 0.00181562 6.4382 0.00199366 14037.5 5.11448 6.4382 0.00199366 14037.5 5.11448
